SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000253,64,2,10,11,1,,4.908689,5.513002,5.278672,4.999212,4.673304,3.279242,5.691008,4.628128,3.748161,5.771595,7.900733,5.971093,5.085612,5.976055,4.329095,6.574117,4.817682,6.191354,7.534066,6.305779,5.125433,4.831923,5.988320,4.313333,4.812875,3.653833,4.310916,5.338724,5.701682,5.289359,4.091391,5.780196,4.222518,3.236397,4.857454,5.746809,4.363804,6.474076,4.290624,7.314421,4.137163,4.593070,4.376889,6.403447,3.548280,6.083455,4.621344,6.386728,5.017889,3.852079,3.526720,4.305403,5.474871,6.182511,4.183827,4.695497,3.312673,5.119705,4.160916,5.504589,4.636357,4.057098,4.210615,4.783322,6.183562,5.745434,5.239126,5.432962,4.843661,5.979373,4.670438,5.849665,4.505629,5.793642,4.423065,6.295769,3.375210,5.484242,5.586306,5.116174,4.729624,4.601924,5.981124,5.088358,4.151908,4.988231,3.453348,4.874210,3.588789,5.216483,5.936358,4.923634,2.863625,4.769809,4.542156,4.228465,5.453467,3.061619,4.640611,5.255290,4.367894,4.467929,4.529898,5.654654,4.974682,4.318465,5.102227,4.522118,4.823094,3.943243,4.155410,4.157123,3.671292,3.300623,3.756449,3.847936,3.599487,3.868488,4.384957,3.660513,4.260445,4.885229,4.094161,4.604343,4.227788,3.627140,4.148457,3.742427,3.823468,4.472749,3.291383,5.022265,4.789438,5.530784,5.963196,5.936843,3.135302,2.882833,3.386922,4.777228,3.772597,4.608220,7.161328,5.010158,4.670432,3.414878,3.100038,5.416025,5.948685,5.685911,5.483413,4.794191,7.062780,5.399769,5.848519,2.308411,5.856024,3.740463,4.181136,6.630806,4.563799,3.517288,4.601130,3.774526,4.213403,4.572861,4.033763,5.135492,5.869409,5.471149,3.892065,5.700683,3.801829,3.947040,5.498359,5.678534,5.722124,4.880228,4.018191,5.516469,5.079408,5.549213,4.865158,5.098780,6.513181,4.266563,4.528902,5.989810,6.160879,6.251153,5.642663,5.870273,4.467466,7.176896,4.742847
C000254,64,3,11,11,1,,3.815013,5.214947,3.543080,5.220701,5.769573,4.493779,2.263047,6.385759,4.092762,5.933497,4.576175,6.209816,4.793570,4.796034,3.894217,6.432114,4.813023,5.192104,4.776782,3.557591,3.833879,5.381131,5.612068,2.186681,6.417375,3.752072,3.423951,4.045714,4.323189,5.297784,3.602696,6.544664,4.545273,6.173894,4.567860,4.163754,5.151536,5.265536,5.151763,4.016341,4.124177,4.784779,3.626780,5.928601,4.783183,4.409215,5.805783,3.607391,4.607427,6.019511,5.860988,6.098819,5.987356,4.721734,5.646686,3.369539,7.121037,3.817614,3.973917,3.667346,6.285522,4.499153,3.970547,6.167769,4.796354,4.768052,6.050570,4.329699,6.204282,3.279781,5.935543,4.686402,2.723194,4.795222,4.398069,5.618791,3.538475,5.091237,5.643473,5.633534,5.041383,5.865517,5.852395,6.251876,6.362746,8.630277,5.114787,3.174447,5.190624,6.142701,6.562727,6.018243,4.455823,5.863281,5.506554,5.529935,6.854426,5.987158,4.472488,5.077388,4.526359,4.699713,4.794353,7.112128,4.332012,4.585787,5.487207,4.172328,4.549384,4.153914,4.227112,4.749207,4.648333,3.315350,4.563729,4.568717,4.365982,3.928512,4.448327,3.506205,4.195735,4.466120,4.786560,3.686208,3.944964,3.217042,3.479067,4.770159,3.748485,3.771155,3.530779,4.522943,6.215062,5.487189,3.564204,5.977122,3.993852,2.833322,5.215141,7.422565,5.595371,5.197128,2.535045,4.530247,5.425944,4.380340,6.872720,5.675835,5.983025,3.912307,5.104789,6.061507,6.462324,6.255591,4.770489,5.092173,5.445427,4.771282,6.891990,6.121226,1.945235,4.999926,3.267045,6.298576,5.648799,4.612823,2.998778,6.469862,6.062830,5.417866,4.486414,4.539340,4.972776,6.138961,5.512129,3.381838,5.951500,4.538618,5.548936,4.180208,4.204403,6.468687,5.709752,4.672505,3.960911,4.858132,5.508561,4.562324,4.524106,5.162362,5.515259,5.757100,5.565803,4.542927,5.166983
C000255,64,4,12,11,1,,3.361155,6.430366,4.727598,4.600822,4.837782,6.004925,6.284389,7.031358,6.274834,3.054480,5.160411,4.798586,4.804935,3.839156,7.014997,5.619703,5.659843,6.382534,5.760099,5.737714,6.731437,5.212510,4.508363,4.226764,3.443788,4.049328,6.495894,3.556644,4.917033,5.202021,3.524900,4.980656,4.252454,5.795554,3.933296,6.132171,7.309342,5.151217,4.015296,5.677872,4.444147,4.970816,2.355322,7.690424,8.628670,5.748197,4.459682,4.126582,4.594741,5.237448,4.543146,5.598901,6.495221,5.428711,6.356704,7.392782,6.068356,6.031435,6.040004,4.561581,5.592022,4.716973,5.572577,3.595268,5.132795,5.275416,6.371446,5.990135,3.804199,4.962544,5.990027,6.190421,3.199240,4.938995,5.097003,5.126786,5.235263,4.653753,3.359069,4.348017,6.240700,4.004842,6.266411,5.066483,6.142652,3.723716,5.043106,3.859467,4.731256,5.910996,6.522232,3.691134,5.131929,4.290769,2.846924,7.060221,4.364370,5.969640,5.157068,3.614022,3.738396,4.635351,6.111599,5.413825,6.061968,5.172415,6.546312,6.057822,3.837759,3.893366,4.065053,4.713525,4.005159,4.367768,3.948652,4.316784,4.755931,3.720826,3.623510,4.741846,4.127705,3.689202,3.894817,3.557871,4.465486,4.276637,3.830547,3.731898,4.830749,4.149935,4.903192,4.859315,4.798348,5.555295,5.386892,7.238222,6.236293,7.177088,4.016785,5.053950,4.279028,4.458295,4.267384,3.760358,5.061487,4.423160,6.973451,4.005808,4.424536,5.914066,4.499619,3.729829,7.351651,3.803802,4.401637,4.522380,5.170191,6.134462,6.062603,4.234673,6.574855,5.093917,5.293620,5.135512,4.030198,4.185949,5.887905,5.853698,3.878894,4.199605,7.401754,5.713836,3.848318,5.017891,3.202685,5.067307,5.492104,3.807855,4.500498,2.926642,4.060879,5.284808,3.935058,6.514645,3.360797,4.519895,5.565831,5.864227,6.037351,4.696676,5.496065,4.587456,5.359858,4.334992,5.104756
C000256,65,1,13,11,1,,6.401469,5.115414,4.652429,4.721829,5.205705,6.492044,4.816475,5.494586,3.606141,5.357233,4.275503,5.686042,6.309471,5.707687,4.795897,2.803065,4.613365,6.532002,4.137888,4.966436,3.758220,5.081396,4.912381,4.248357,4.308618,5.516834,4.177165,6.801893,5.969621,5.539959,7.476475,7.680766,2.607944,5.207440,7.559696,4.259688,5.694918,3.130436,3.913329,5.568246,4.582740,6.021871,5.930425,4.332901,6.153026,4.124035,4.499816,3.660680,6.771743,6.871305,6.083195,4.279978,5.298277,5.369248,4.416310,5.740962,4.048417,5.096246,4.827001,4.530819,5.791769,3.934150,5.569607,5.438055,4.360185,4.938190,4.916597,4.005401,4.434713,4.810679,5.089500,6.766576,5.007790,3.842039,5.909374,4.555911,4.130017,3.989311,3.428911,5.717780,5.198786,4.215771,4.610343,3.083602,8.180458,5.364102,4.885675,2.222583,4.167988,4.059519,4.700919,5.749895,4.914976,4.613417,4.174889,4.914922,7.335097,3.448131,5.205889,3.627490,5.569206,3.439962,5.180468,5.487796,5.551497,5.400727,4.072011,3.468222,3.885995,3.398004,3.587964,4.018243,3.872257,3.842239,3.747731,4.812616,3.855674,3.994451,3.482839,4.154666,3.676767,3.313955,3.790121,4.472879,3.676814,3.539576,3.207204,4.065073,2.556528,4.070460,4.038576,3.839606,2.696650,5.851333,8.091188,5.516678,3.380502,7.221751,5.448300,5.233859,5.427764,4.649128,5.585204,4.660541,4.931859,5.843496,4.855362,5.933536,7.202622,3.921205,3.062133,5.414879,3.016288,4.265986,5.724609,3.728760,5.344892,3.502348,4.758115,6.460387,3.827670,4.040721,5.682114,5.533670,4.015654,5.561871,4.590025,5.987840,4.883647,5.036835,5.886883,5.611039,4.323992,6.023133,4.217521,6.781788,6.869248,3.997652,3.549972,4.443992,5.714050,5.711811,4.130612,6.621265,5.462193,4.425370,5.246033,4.240382,6.042704,4.977709,5.877742,4.225414,5.293275,4.776262,4.939356
C000257,65,2,14,11,1,,5.426967,5.089862,5.489603,5.192587,6.786855,4.734594,3.704652,3.251247,4.180608,6.191777,3.872627,4.855750,5.307107,5.861024,5.089979,6.137978,5.014202,3.628642,5.774461,4.765678,5.458755,5.327556,6.359976,3.593902,5.029839,6.856925,5.900334,4.186356,2.530969,3.907536,3.979611,5.973933,3.406083,4.866683,6.986741,5.729757,5.311897,5.832975,5.440099,4.019266,5.617012,3.298242,5.803226,5.746855,6.355899,6.892404,5.263589,5.060559,6.476147,4.579537,4.557752,4.576299,4.149003,3.475712,6.987345,3.932245,6.251747,4.966474,4.761212,5.629141,5.444835,5.392016,2.885808,4.472240,4.826390,5.227807,5.267672,4.309924,5.466572,6.031778,4.567570,4.898100,4.840692,4.336695,4.314161,6.490903,5.712822,5.586507,4.469987,5.216680,3.516046,3.026230,5.024257,4.250923,5.421458,4.674932,6.291051,5.256796,4.127957,4.520137,4.668622,6.096548,4.045795,4.264144,5.167193,4.850921,6.431463,5.152777,3.909131,5.796654,6.007675,4.997567,4.306179,5.368463,5.319583,4.232940,5.258056,4.623896,4.397473,4.288741,3.498456,4.505933,4.164961,5.106024,4.102586,3.777130,4.353248,3.759519,4.528179,4.458804,4.843044,3.555774,4.032077,4.527182,3.899017,3.231384,3.647596,3.767661,3.634370,4.231555,3.183132,3.713593,3.877736,4.755333,5.714920,4.702574,4.307922,6.438410,4.960089,4.265074,3.960058,7.253652,4.805425,2.942060,5.237246,4.997770,3.677428,6.613055,5.986644,3.837461,6.274337,5.633314,3.815495,5.511056,6.274791,5.659037,3.900788,4.821829,5.424539,6.891326,6.568708,5.190415,5.908049,6.286486,5.163151,6.993741,6.248952,6.122675,5.673726,4.599572,4.611545,5.869832,4.895264,3.232790,6.749389,4.305907,6.043938,4.538258,6.847288,5.372459,5.098100,7.954533,4.336480,3.779836,5.334340,4.354120,3.563168,5.076819,3.893100,5.590499,5.892584,2.573037,5.437378,3.685374,5.952564
C000258,65,3,15,11,1,,3.382653,3.999726,5.080510,5.007033,4.378865,4.472460,3.976260,6.368982,4.186664,4.285726,3.692202,2.464217,5.114552,7.057551,4.891961,5.876631,4.731039,4.198887,4.768723,3.939078,4.174280,3.702574,4.737764,5.190532,4.226129,4.310303,5.551149,5.666461,6.331745,5.641824,3.903620,3.505388,5.846182,5.662210,2.944554,4.837855,6.823991,3.396197,3.495082,6.033110,5.666050,4.108830,3.635060,6.353165,4.467081,4.451315,4.944377,4.169170,3.819225,4.329916,5.419203,5.931785,4.457062,4.069290,4.023912,5.613278,4.431683,3.214373,6.011159,6.002237,4.697851,5.072803,6.121401,4.761783,4.104320,5.009488,4.073751,4.703808,6.034928,4.043750,4.503265,5.053027,5.843225,2.577812,4.327126,7.051117,5.468190,5.916299,3.983019,5.053977,5.031824,3.186504,4.739483,5.287485,3.859819,6.302250,4.113183,4.937853,4.206049,5.923451,4.013118,4.373290,4.511092,4.031265,5.545896,3.276912,5.382964,3.146493,3.957251,5.154781,4.245689,4.313825,4.903373,5.171056,5.454601,4.572635,3.464164,4.764184,3.925054,3.901934,3.923372,4.160545,4.153502,3.941150,4.201388,4.108151,3.347925,3.270415,4.732745,4.691843,4.417081,3.696356,4.153830,4.481005,4.582125,4.189820,4.024153,3.613168,4.634128,4.185104,4.043253,3.549547,3.669981,5.679956,5.182794,5.342379,6.115519,5.498010,2.809668,5.749205,3.235851,4.080677,2.121650,5.413354,5.546707,2.650598,6.076320,4.812272,7.907808,6.341483,5.334161,3.670659,5.045514,5.146837,5.604593,4.470187,7.061429,5.091659,5.428960,5.273563,4.446590,5.714702,6.322391,5.794375,3.860885,5.659513,5.682178,6.448884,4.078490,4.598332,3.415795,4.975108,4.472247,5.046312,4.223489,1.737008,6.406300,6.421427,2.649771,4.513006,5.332688,4.912933,5.176022,4.880955,5.961275,4.147732,4.781488,3.742953,4.670025,5.393699,5.034300,6.318403,6.172757,4.440783,3.983411
C000259,65,4,16,11,1,,5.870520,4.876281,4.796807,4.117155,3.483061,3.428247,4.327460,4.724904,5.990709,4.634989,6.105502,3.384722,5.767107,4.437841,6.193886,4.801938,5.269557,3.085375,4.912736,5.085725,3.502631,3.975008,6.182789,5.288364,4.544674,4.304112,5.688647,5.117820,5.290023,5.382217,3.222246,4.333567,6.107147,5.448346,5.480792,4.239783,3.430438,4.177841,3.804006,7.374604,4.647694,4.350728,4.758373,5.310463,4.681231,3.458694,3.636048,3.825671,4.972342,6.087055,5.472594,5.409315,3.787110,6.870151,4.870957,6.629854,4.594802,5.982903,4.555537,4.063980,4.829461,6.095567,4.820010,4.714449,5.162411,4.829145,6.454228,4.224137,6.745718,4.537262,6.005919,4.837610,4.026111,6.507786,5.842490,2.840881,4.627483,2.655525,6.723098,6.413633,3.326229,4.288631,5.480167,6.440244,4.659518,4.514154,6.687763,4.000514,5.668998,3.135643,5.732566,5.333878,5.555742,4.410098,3.236826,4.747143,4.092994,4.577110,5.737408,4.467535,4.228077,6.947177,5.318350,4.535001,4.726483,3.900268,5.448839,5.503915,4.783692,3.447307,3.656179,3.564900,3.551517,3.730075,3.774904,4.120137,4.488770,3.913530,2.695656,3.468233,4.692289,4.628919,4.960977,3.662924,3.833983,3.813349,3.893864,4.472842,3.999805,4.582851,4.495478,3.749850,5.212318,5.505944,6.404984,5.070323,2.374841,5.235377,2.924459,3.911588,4.926530,6.804379,5.782365,5.690755,7.255509,6.368697,3.084996,5.841330,5.767267,6.412862,3.914949,4.907507,6.098944,4.537200,4.292824,4.484581,4.214266,5.151318,4.849237,4.546266,6.795457,3.996330,5.086734,3.512360,6.148858,4.338326,2.436241,5.569681,4.705660,6.200418,4.347254,6.072501,5.388796,4.852619,3.882725,3.397524,7.521251,5.183669,4.204012,5.600734,2.912242,4.172511,2.931912,6.011717,5.003168,4.560968,4.127165,5.032975,4.989123,5.624687,4.385331,4.823927,5.731421,5.829755,4.203835
C000260,66,1,17,11,1,,4.783099,2.923275,3.718821,6.871847,3.340665,4.153032,3.919998,2.906753,3.994820,6.563913,5.432397,4.868494,5.809799,6.408876,6.728207,5.898254,5.298648,5.245842,4.336035,5.717537,3.807669,4.998528,5.391027,4.610529,6.864876,5.602195,5.605546,2.310005,4.475117,5.869640,5.118574,5.007313,5.180139,5.353580,4.564056,4.609626,5.567674,3.222325,3.698823,6.524487,6.768972,5.150933,4.087006,6.774156,4.962839,3.963697,5.069417,3.788157,4.967464,6.529020,3.921407,5.438759,6.116065,3.812315,5.166673,5.505607,4.517518,5.175095,6.589132,2.686143,4.752354,6.052313,4.867189,6.044074,4.000583,4.672635,6.423296,3.120745,6.078386,5.767251,6.154154,5.483717,3.198486,5.592715,4.013665,6.010751,3.927110,3.840480,2.787968,5.303217,5.597865,3.245614,5.229230,4.420005,5.657755,4.020741,4.875103,5.775908,3.769645,5.148381,5.835430,6.364731,5.314560,4.380005,4.490724,5.134995,4.896054,3.766386,4.311360,6.179596,2.781129,4.123570,5.522149,3.889102,4.622021,5.347428,6.508848,6.266706,4.322481,4.495808,3.337452,3.673522,4.632751,4.070479,3.501011,3.922347,4.028328,4.295377,4.374344,4.532352,4.787059,3.703488,4.664268,3.684592,4.763608,4.486211,3.936509,4.291949,4.407811,3.886571,4.013436,4.436690,5.438015,4.550033,4.599212,4.414224,4.169844,4.565909,3.652571,4.889077,7.301248,4.555669,4.247757,5.268214,5.572387,6.680326,5.628139,3.774711,5.245635,5.959178,4.411570,5.313719,6.078893,5.647397,4.685036,4.708440,4.454878,3.983909,4.505424,3.978814,4.950170,5.124157,5.806115,6.005948,5.856904,4.104281,5.341255,4.968316,5.633582,4.505692,5.556577,4.841833,5.245111,6.470090,8.014391,4.065836,6.321424,4.126353,4.546375,5.390030,3.314085,3.388222,4.966745,4.965198,5.420920,4.475520,4.094862,5.906776,4.063693,3.207734,5.359340,3.459810,4.521891,5.383930,5.968750
C000261,66,2,18,11,1,,4.566109,3.948802,4.856452,5.141130,5.460614,6.848439,7.471370,6.144815,6.935541,4.081227,2.260104,6.251375,3.905331,4.771114,5.691489,5.015987,4.803093,6.217071,4.759059,5.402838,4.958925,4.288399,4.444523,6.135746,4.621288,4.522414,2.542298,7.584160,4.458380,5.954920,5.443495,5.446213,5.134287,6.456320,5.286028,7.506422,4.786603,6.126149,5.128079,5.667216,6.065180,6.295857,4.911776,5.942362,2.273161,6.552625,4.849281,3.975719,5.328019,6.160019,3.416275,6.423896,4.651368,4.825952,5.992478,6.773324,5.678219,3.739084,4.733946,3.992690,5.721806,5.830451,4.208924,4.372310,5.174581,3.121810,6.395229,3.339064,4.412735,4.586935,3.737945,5.637382,4.402320,6.139310,5.360208,5.649699,3.993327,6.324470,3.973745,4.285502,5.587339,5.701644,6.234703,4.672445,4.163788,5.132135,4.999444,5.045101,4.443383,4.242809,4.740306,6.269961,4.667668,5.147634,5.319014,5.386256,6.886272,3.341356,3.664806,4.000078,3.070207,4.041093,5.132739,4.275810,5.597034,5.772398,7.126783,4.821509,4.360074,3.441434,3.352361,4.082385,4.230305,3.409910,3.805448,4.102201,4.253813,3.790916,4.090219,4.238564,3.598146,4.592751,4.574772,3.290904,3.522211,4.719882,3.839730,5.292450,3.518999,3.677159,4.178354,4.192295,5.892806,6.246575,5.074824,7.405779,3.310550,5.154123,4.124662,6.210707,6.412963,4.477430,4.983251,4.654500,6.590840,5.591603,4.587920,5.422066,5.835504,3.318921,5.745246,7.314509,3.641443,3.916929,5.560236,6.154681,4.969137,3.634067,6.390878,5.226012,5.150160,5.375351,7.776881,5.069311,5.468754,5.163448,5.843286,4.565697,3.985657,6.010719,4.513784,4.231621,4.058278,5.509111,4.456115,5.055621,4.998748,3.891690,6.557961,4.326733,3.405021,4.736999,4.305329,5.900016,6.031958,3.330845,4.419259,3.839048,4.499036,5.219634,6.135653,4.692907,4.208789,5.856844,6.016476
C000262,66,3,19,11,3,1101,5.106043,4.645497,4.520498,4.426513,4.979063,4.049747,5.423600,5.134867,5.217204,5.301837,6.737281,5.495863,6.643846,6.373793,4.895701,5.280434,4.445772,5.559493,2.650676,3.463992,5.549128,4.716452,5.922110,2.702040,6.563764,4.129810,3.655133,4.259879,4.142089,5.574024,5.619037,6.240436,5.977293,5.999025,3.973498,5.903987,4.541746,4.876147,5.786789,3.304541,4.563095,4.939661,6.909841,5.572550,6.165719,6.481829,4.949862,3.864963,5.004128,4.168176,4.658005,3.567665,4.136378,3.492901,3.997931,4.436213,4.318249,5.420833,4.528011,7.103484,5.692934,4.331875,6.356405,5.689335,5.083907,3.878801,5.290440,4.296373,5.366052,2.655257,4.576418,3.637887,5.665410,5.945527,6.895908,2.880792,4.703384,5.310413,4.892375,5.402728,3.671362,5.632248,5.564107,4.598111,4.185818,5.105519,4.295655,4.187319,4.081952,4.342157,4.027448,6.204917,4.963910,5.503736,4.061001,5.274118,4.100771,8.226276,5.464478,4.841704,5.300020,5.801686,3.906396,3.481490,4.784113,7.514253,3.964264,7.713384,3.661808,4.460034,3.521114,4.540426,3.777808,3.388318,4.292445,3.676938,4.140302,3.769629,3.987406,4.070063,4.942521,4.002716,3.746509,4.106728,4.282721,4.315295,3.781173,4.535785,4.257288,4.089559,4.052763,4.147103,5.748114,5.279110,4.761122,5.587936,4.499706,4.515186,7.390626,5.777098,5.623191,4.523191,6.105247,4.852968,2.522303,6.083220,6.201114,5.163862,4.102530,2.597736,4.126881,3.338958,5.216260,3.976578,4.839241,7.508948,6.678680,5.615778,6.967878,4.315022,3.168731,3.854249,6.515030,6.083958,6.230767,5.185888,2.600589,5.992494,6.640943,4.336361,4.983720,5.554804,6.591295,3.017143,5.713863,3.070093,5.557022,2.973524,5.327007,4.403852,4.558205,4.353709,4.739723,4.281943,5.062037,4.597628,4.715798,6.304689,5.995278,5.108867,4.382331,5.548412,5.540142,5.328070,6.080450
C000263,66,4,20,11,1,,4.120067,4.367924,5.253209,3.569573,5.735546,5.858286,4.312308,4.767572,5.967222,4.606808,6.345113,4.379307,5.161270,5.756135,3.300830,3.341566,6.274908,5.840749,5.984539,4.715637,5.307688,5.904230,5.493160,5.517730,6.863286,5.505460,7.026993,4.099134,7.755141,5.903274,5.160562,3.915998,6.159246,5.340233,5.152892,5.645294,6.986192,5.661426,4.712267,5.441693,3.857606,5.115390,5.456084,4.804095,3.394760,4.265438,3.925316,7.022141,3.665576,4.763421,4.937459,4.033479,4.309148,5.210897,5.842203,4.417083,3.285778,5.332312,3.151770,6.377453,3.874132,6.613015,4.136893,4.918250,3.988171,3.922877,6.359306,4.255296,4.407557,3.514503,2.913603,4.698536,5.973817,5.736108,6.511757,4.074165,5.225088,4.466257,5.639726,4.004600,4.722423,6.553779,4.882408,5.698707,4.548154,4.447498,6.094382,4.169195,2.996874,4.287512,4.996200,3.155570,5.639640,5.479034,4.811457,4.419039,5.071590,5.155379,3.866978,5.300975,4.784914,5.282175,4.339482,4.987305,5.421464,4.780935,3.465465,3.344890,4.082662,3.238977,4.666260,4.706205,3.884625,3.526276,2.901164,5.280274,4.487214,4.258677,3.727297,3.810841,3.928403,3.836812,3.952311,4.108484,3.900558,3.623473,3.706817,3.928455,3.679394,4.443857,3.650889,3.658060,6.511162,6.710779,5.478872,6.776172,6.794827,4.636090,5.044492,6.490829,3.198489,5.445312,3.019702,3.897216,5.480539,3.461823,4.312683,4.822839,4.175493,5.041826,4.460874,4.231889,5.278689,5.905729,4.774928,5.339514,2.728959,3.166337,6.317734,5.589681,4.152248,5.432368,4.848877,4.886482,5.316397,4.938796,5.400406,5.161247,3.979175,2.301064,4.481670,4.567272,5.127323,4.672827,6.331743,6.530698,6.676656,5.350094,3.293772,6.465612,5.691795,4.912744,4.078591,5.695012,5.114092,5.524601,5.154600,5.329597,5.457185,3.459121,4.081695,4.574126,3.125522,5.831427,4.665916
