SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000317,80,2,7,13,1,,5.733888,5.861221,8.157348,3.822378,6.720530,6.521577,4.744719,6.695591,8.441617,4.268401,3.943158,8.753327,5.545096,7.718888,6.632542,5.425017,6.857657,6.543760,5.459606,6.153886,8.030547,4.041137,7.344134,7.085418,5.296881,6.505380,7.366811,6.799543,5.660687,7.585780,5.514752,4.864684,5.739949,3.279945,4.991222,8.144326,6.598290,4.864589,4.960029,5.641470,6.390704,3.256323,4.026064,6.033525,3.760003,5.361710,3.701431,5.208677,4.798177,3.820868,3.398328,2.976512,6.083849,7.002024,4.683182,6.330105,6.351023,5.087642,4.775258,6.307393,3.267857,3.052245,4.785323,5.709300,5.046091,4.649430,4.294507,5.037154,5.673498,5.611269,4.296521,5.175859,5.176636,3.932344,4.568727,6.790158,4.534053,3.138532,5.011224,5.579931,5.385774,6.385186,5.488530,4.504127,7.262962,4.334170,4.739941,3.065319,5.203535,7.313274,5.082171,5.033683,4.751029,4.655244,5.445086,4.634382,4.637014,5.506488,5.166097,3.951184,4.313984,6.193184,5.908066,4.752310,4.925237,4.719531,3.666449,3.674886,3.957169,3.079992,4.162449,3.559879,3.476978,3.544564,4.475480,2.905096,4.375492,3.264240,2.795505,4.957068,3.876285,4.581670,2.121720,4.018471,4.123845,3.252633,3.326900,4.154204,3.056118,3.977217,4.105484,2.801458,4.991057,6.320248,6.781073,5.449401,4.218897,5.631985,6.293125,4.917944,8.205215,4.529651,6.307046,4.851320,4.144772,6.974063,8.649331,4.543352,4.320066,3.342320,6.925468,5.808614,6.353249,4.526386,3.762226,3.401330,5.448059,5.580649,4.845080,4.679085,5.669870,5.164444,4.562717,5.698814,3.930717,5.716283,3.281759,3.911887,5.699385,4.092104,3.901279,5.925945,3.275181,5.693358,3.402801,5.000334,3.826936,4.463767,4.934939,6.165277,5.180802,4.743103,4.701280,6.498284,4.443940,5.186028,2.348209,4.494935,7.577459,6.380509,5.489109,6.054772,4.688075,4.957112,6.637516
C000318,80,3,8,13,1,,4.887259,6.131642,7.336246,5.870883,5.728375,4.741505,5.654160,5.105435,7.630149,5.742092,6.521069,6.482742,4.914843,5.030738,8.790608,4.691383,6.306042,6.702072,7.243965,5.734545,5.904199,6.311113,4.949222,5.973151,3.899946,7.094875,8.523743,5.924618,6.242818,7.421810,4.921383,7.243980,4.251501,5.070103,4.680414,5.309968,6.215311,5.036732,3.844353,4.707588,5.341530,2.514681,4.220680,2.579223,4.369291,4.340306,6.254471,4.125000,4.358781,4.273614,4.350874,5.757309,5.213429,4.524113,4.446494,5.811785,3.954805,6.193956,4.161352,5.466115,3.960036,6.162135,4.867274,7.008171,5.654771,4.195447,4.708773,5.256293,5.039020,4.211161,5.600625,5.728723,4.307478,6.389381,4.669723,4.151112,4.838923,6.043939,6.137563,4.125974,5.306601,5.322872,5.129265,4.506398,6.079547,4.321956,4.217090,5.202304,7.319732,6.708677,5.440151,4.808379,4.761943,6.358913,5.230289,4.906947,5.039580,5.851090,7.616643,5.813289,4.021006,5.961435,3.652007,6.606416,1.235106,5.020607,5.670043,8.169908,4.031204,4.979442,3.091635,4.263827,4.588901,3.682625,3.549391,3.737639,3.411038,3.714317,3.861273,3.730169,4.544311,3.319177,2.752267,3.892325,3.550252,3.491300,3.934276,2.545733,4.460286,4.294229,4.115484,3.121461,4.457356,6.681171,8.054663,4.372958,6.390527,6.290954,4.728391,3.340793,6.712106,4.219774,4.499289,4.372747,5.095195,4.067191,8.212393,5.295526,5.391555,5.242477,5.855326,5.009034,5.653834,5.911672,5.080871,4.192374,4.600794,3.506669,4.418734,5.719041,4.814608,5.386775,5.411418,6.897817,5.443813,2.102395,4.697206,4.637162,2.720166,5.330156,4.615553,5.698767,3.385357,5.141619,3.666575,5.174769,2.922010,5.792989,4.578489,4.061476,3.591627,5.198903,4.556075,6.166478,5.912612,5.795785,3.821026,2.980267,4.088574,6.482684,6.035445,5.237594,5.609948,3.557856,5.311450
C000319,80,4,9,13,1,,2.359496,5.593344,7.699621,5.816500,5.241020,8.353767,5.734889,5.870269,7.331949,7.197647,5.779462,7.414821,6.962570,6.485955,7.129940,3.614449,6.510749,6.675934,4.131132,6.158038,7.742256,3.439698,5.268302,7.119633,5.691525,6.527481,8.581880,4.345355,6.213864,7.968278,5.092530,2.932542,4.595935,2.669536,3.967293,5.013729,4.074714,3.844033,5.162315,3.255307,4.815582,2.267967,3.988016,3.490563,6.622525,4.646350,7.773795,4.482598,5.258529,5.468607,2.883193,4.641607,5.785923,4.644559,3.995814,6.666045,5.154707,7.162803,5.723544,4.884121,6.747349,5.765320,5.724906,5.294040,6.216861,4.520950,5.578105,5.316867,4.086435,5.117798,6.312661,5.171741,5.596164,5.783462,4.845669,5.386850,4.197004,5.920728,3.669408,5.284143,5.000819,5.116197,6.128004,5.125920,3.942322,4.999359,4.243630,6.769353,4.447913,5.529502,5.653921,6.426273,7.675335,5.117845,4.908206,6.369138,2.560228,2.946482,7.082119,4.037898,6.056080,4.376351,4.778812,2.975243,6.347157,4.981876,7.521829,6.057014,4.303940,3.871867,3.953297,4.433805,3.479655,2.136892,4.266359,3.788189,2.990515,3.563975,3.867580,3.688811,3.473126,3.605828,2.406012,4.014621,4.279508,2.800172,3.884032,4.216234,3.785162,3.081417,3.898604,3.639054,4.595592,3.829690,3.631390,5.711277,5.499399,6.286890,3.295851,7.852259,2.617330,6.482786,5.866185,5.009604,3.417523,4.567908,4.846521,3.906100,6.018843,4.049972,6.226150,6.211268,5.971624,5.811344,6.359501,6.782760,5.568131,4.713323,6.960381,4.943384,4.906598,4.945922,5.980254,5.618741,4.648722,3.528781,4.570234,3.766922,4.795013,6.211299,5.269458,6.022264,2.938865,3.832303,4.926933,6.374967,6.203971,6.307437,4.191831,5.902807,3.978441,4.988379,4.614805,4.384026,4.347510,3.866292,5.791996,4.816223,4.558928,4.999533,4.709613,7.015679,5.008494,5.429963,5.307725
C000320,81,1,10,13,1,,5.584680,6.292672,5.680270,4.836129,5.890095,6.216970,5.190873,5.903186,6.313027,3.982364,5.910672,8.251875,5.116152,6.237133,7.792725,5.430973,8.240604,7.583262,4.944608,5.740858,5.724170,4.012964,6.090926,5.697854,3.241298,4.823756,7.320122,4.299924,4.713677,8.950022,4.712667,5.960531,6.367102,5.501320,6.694319,6.108783,4.746533,5.039743,4.202897,4.064012,3.356250,5.945815,5.539706,4.527251,4.200371,6.965043,5.671645,3.323644,5.516187,2.696781,6.494086,4.443864,4.829304,5.320384,6.471870,5.316539,3.583676,5.091141,5.673895,5.125565,5.265510,3.737439,5.481640,6.679807,5.884376,4.239134,5.631632,4.276111,4.438983,3.911602,6.048694,5.109969,4.330661,3.640427,4.759266,4.937736,4.854911,6.209154,2.593458,3.902420,4.751186,6.062530,4.171740,4.926878,4.694966,4.594104,5.194563,5.444983,5.526420,6.291960,6.390192,5.837357,2.944040,5.204146,4.309011,5.317046,3.390389,4.597045,7.684847,3.618943,5.718305,1.025188,4.964748,5.658624,3.448884,4.979590,4.873998,6.510115,3.319418,3.755790,3.166333,3.343472,4.480239,4.201116,3.633584,2.900403,2.786935,3.858574,4.030912,2.943658,4.337923,3.252960,4.629275,3.545832,4.093520,3.401418,4.279069,4.013162,3.692458,4.609838,4.055234,2.274878,5.373766,3.667690,5.756085,4.601492,4.882665,1.961844,5.349554,5.798513,9.039949,6.510799,5.386172,3.017197,3.577969,5.529209,4.115436,3.820569,5.749207,2.128511,5.044786,4.758451,5.198217,3.860884,4.590465,3.931208,3.507850,4.386214,3.849916,4.367335,6.235195,4.610906,5.674069,4.020899,5.891597,3.200479,6.760233,4.771889,3.819290,4.969896,5.079172,4.841933,4.612470,3.560859,4.434282,5.122286,5.400607,3.344710,1.812668,4.956509,7.390726,3.921530,6.457618,5.510292,3.687791,4.306256,6.242131,6.060926,3.288918,3.496875,4.457889,2.451396,5.750967,5.880308,5.448071
C000321,81,2,11,13,1,,6.019999,3.811704,6.000935,4.342283,5.387017,6.921568,6.915006,6.066113,7.779833,6.058290,5.846161,6.005299,6.061018,8.720807,7.624581,5.875886,7.266241,6.114941,4.514378,8.221502,7.578822,6.023771,6.396302,6.649235,5.113180,5.986894,6.262066,6.320695,6.844584,7.177746,5.632373,5.835036,6.257926,4.584532,6.253914,5.452138,4.167323,4.083368,3.384818,5.241694,6.150539,5.432620,4.406570,5.018925,8.675010,7.575435,7.798466,8.588019,3.739957,7.369402,3.780946,4.447197,5.635378,5.543815,5.776416,5.512950,3.218902,4.497021,5.327209,8.015105,7.252303,4.183413,4.459894,6.163816,3.909582,3.987949,2.995787,3.858249,4.312194,5.955190,6.132161,5.148779,5.727552,5.976828,5.013289,4.640951,5.622094,5.347723,4.942374,4.436760,4.530795,4.835555,4.697803,4.980418,5.265957,4.319267,2.749510,3.101385,4.101177,3.460119,9.990000,5.118116,4.411890,4.943057,5.544680,5.474716,3.602716,5.123306,5.806452,5.353974,5.765832,2.658987,5.056085,5.436878,4.746189,6.328077,4.885665,5.868923,4.004016,3.592547,2.738203,4.215982,3.786625,2.953631,3.712963,4.237013,3.615656,4.229488,4.970983,3.776493,3.184805,4.124922,4.022373,4.425835,3.787220,3.889843,4.364684,2.112735,4.076478,4.708573,4.344167,4.551087,4.842661,5.444575,6.528003,5.102742,5.882858,5.954173,5.224638,4.015657,9.557581,3.920933,6.032778,3.892293,5.438170,3.860374,5.023644,5.178871,4.873594,7.955401,5.970970,6.527563,5.089965,5.612020,5.831979,6.546200,5.401378,3.651192,5.302959,4.008178,6.084111,4.403144,4.003014,5.122511,5.878490,5.453019,4.310240,5.179619,4.654329,3.895445,5.357920,4.852687,4.580685,4.412296,5.501948,6.041847,4.473214,5.839943,6.011920,5.163936,5.816415,5.774011,4.877352,6.148360,6.920120,4.501727,4.480802,4.667930,4.795827,5.462121,4.550394,5.753241,7.182932,4.862968,3.504553
C000322,81,3,12,13,1,,5.088414,7.471889,7.070399,4.733590,7.189512,8.928503,6.684854,5.096969,7.768011,5.914321,5.718344,7.467469,3.854202,5.248627,7.620672,4.435162,7.338008,5.135261,5.544507,6.740776,6.068376,7.117988,4.437524,7.118043,4.574683,6.997997,8.488580,4.550108,5.195867,5.912205,4.165045,7.682831,6.082464,5.012924,3.767223,2.688441,3.982683,5.987126,4.147000,3.124560,5.233532,3.172371,4.063173,5.244977,4.534550,5.627102,5.401884,3.893188,5.572471,5.930669,4.563583,3.717559,3.546025,5.664990,4.685189,5.260470,3.846658,4.191240,3.327673,5.322148,5.273785,4.736155,5.110580,6.263832,4.829068,4.612732,5.167808,6.123951,5.339371,5.053424,6.225041,5.515516,4.698722,4.178101,3.518808,4.797898,6.029320,4.255325,4.307270,5.881975,5.418390,5.018021,4.268879,3.887277,4.322945,6.651418,5.938984,5.641595,7.022273,3.536027,3.898548,4.322904,6.941316,4.789445,5.542095,7.572888,6.241112,4.515658,4.109759,5.231048,4.298173,4.167951,3.910857,5.604214,4.724972,4.195756,5.555738,6.444374,3.915527,3.285600,1.853166,3.906696,4.240657,3.223438,3.635191,3.780846,3.108985,3.928590,3.900170,3.969656,3.721053,3.734752,3.522050,3.864127,3.650195,3.537045,3.451568,3.609753,4.202834,3.280723,4.501347,4.279262,4.612773,6.329343,4.492608,4.834393,5.393520,2.940555,3.588754,4.742716,7.055780,3.085247,4.300761,6.749562,6.943739,4.970355,7.319212,4.767635,3.969960,8.420136,2.817683,3.783818,4.512107,3.805644,6.023508,5.346272,5.284156,4.465462,5.919956,3.852974,4.641075,5.243529,4.032961,5.325055,4.182353,5.768537,4.603547,4.866553,6.007193,5.039793,3.400203,4.685534,4.991568,3.953716,3.456152,4.322481,6.834957,4.411856,4.559862,5.077034,5.798578,6.289097,5.855706,4.002416,5.755387,4.097249,5.526326,5.501561,5.531067,4.381521,5.684434,4.503360,4.968296,4.996286,4.783005
C000323,81,4,13,13,1,,5.524730,6.394138,6.575499,3.349463,5.938680,6.329676,5.288191,5.190894,7.270206,3.344736,4.567048,7.747753,5.976127,7.905076,7.012203,7.207937,8.306235,7.355324,4.767323,5.885247,6.369421,5.390309,5.956087,7.533733,4.738804,7.140392,8.564011,5.003977,6.961057,5.939671,4.646267,4.126952,3.347930,5.804679,4.522676,6.928523,3.929023,5.253183,5.452164,5.667384,4.846693,6.446015,5.547530,5.182699,4.562428,4.109567,3.104124,6.191761,2.863612,5.397199,4.030793,5.006358,6.521652,7.656705,5.159727,3.842066,4.168592,7.027741,2.920097,7.475760,6.234986,5.541145,5.672648,5.024732,4.552359,4.158989,7.299439,4.582940,4.743724,5.856077,5.091282,5.213767,6.715953,5.888494,5.909348,6.426586,3.803977,5.491474,3.567235,1.554766,4.872565,5.106056,5.504877,5.669259,5.562251,6.736166,5.116640,5.516204,5.376397,2.887078,4.472508,4.010833,9.990000,5.867538,5.882108,3.928137,4.578112,3.546660,5.524855,5.741263,5.311004,2.283113,4.792365,4.563790,3.018170,4.358556,5.929668,4.853940,4.168313,4.631005,4.138429,4.798340,4.849974,3.365777,4.104214,3.744772,3.659994,3.378146,3.991041,2.655303,3.873865,3.468447,3.640395,3.946244,4.316091,3.346080,4.068742,4.131148,3.075743,3.536340,3.152195,3.739142,4.283353,4.062362,7.205153,2.935840,4.810703,5.317416,3.435410,6.160313,5.142468,4.384413,3.610486,4.678094,4.951194,4.867335,4.608882,5.658015,6.151757,0.682862,5.547961,4.583618,5.728127,6.162033,7.089140,5.418752,5.363475,7.237580,4.463878,3.579092,4.745957,4.054532,3.354675,3.428683,4.738871,4.605646,4.384662,3.736027,5.721780,4.550083,4.628547,4.718090,3.797371,6.285099,4.159692,4.865005,3.718995,6.471104,3.121394,4.549712,4.246966,4.102777,4.579452,5.562207,2.887552,6.094975,4.209035,5.388096,5.320306,5.304991,4.109879,4.535247,6.560816,5.882394,3.924638
C000324,82,1,14,13,1,,7.078343,6.498927,9.584209,3.997797,6.000205,7.283381,4.248694,6.247951,6.883930,4.888538,6.131951,8.305275,7.354440,6.627178,6.364309,6.429348,7.722620,6.751860,5.658802,6.386021,7.807878,5.415820,7.019152,7.512655,6.685998,4.985383,6.238160,6.925576,7.224393,7.764548,3.538184,3.375271,4.731609,8.006477,4.935112,4.784369,5.575062,6.265103,7.641305,5.155147,2.970933,4.652303,5.928581,6.805022,4.421558,5.684119,3.081512,6.407100,4.736976,6.421645,4.441413,4.991523,3.091071,5.689866,3.614576,3.619991,3.119812,5.964688,5.484396,4.636016,5.353138,4.896818,5.553996,5.574845,5.376743,4.884526,6.746763,4.482058,4.723629,5.266336,5.132633,4.421042,5.539190,5.412884,4.943645,3.396201,4.739177,4.985828,5.560943,4.466265,6.048780,5.388795,5.086199,5.593311,6.507341,4.578797,4.833214,3.598393,6.692315,5.729504,4.739896,6.228913,4.619442,4.724056,5.181576,4.890324,5.703153,4.942854,8.029080,5.711396,4.913497,2.076879,4.301913,4.883252,5.041487,7.385030,5.207766,4.119040,4.358307,3.837545,2.831748,4.386084,3.941114,3.743010,3.966329,4.187122,3.906864,3.798053,4.179365,2.592939,4.374401,4.251695,4.186718,3.781013,3.681223,3.445187,4.694547,4.347222,3.901031,3.628400,4.023090,3.227341,6.084525,5.434638,3.902593,4.330155,2.234715,4.720548,5.385615,5.871887,5.146430,5.550934,6.050892,4.054830,3.464871,5.108213,5.274120,5.150712,4.071015,2.572143,4.006081,4.695807,2.665261,5.103993,1.890302,5.422828,4.139225,5.516864,4.687926,4.763453,5.352058,6.064590,4.121437,4.945531,4.702523,4.611308,5.104199,5.181253,7.184561,4.380657,2.955993,5.306363,3.795479,5.631252,3.116906,6.618875,3.877306,7.907472,4.432599,4.962543,4.241273,3.858985,6.403433,5.509959,2.916379,4.436218,5.247629,3.709278,5.267030,3.170068,5.151370,6.020744,4.311900,4.825166,5.535865
C000325,82,2,15,13,1,,6.180991,6.900116,6.623208,5.265147,6.178657,7.053094,4.760812,6.799187,6.541228,7.777193,6.239406,7.071242,3.684175,6.360280,8.431811,6.421781,5.804897,7.008614,5.293290,6.858424,7.255158,5.651809,5.908007,8.244222,3.271849,6.322884,6.330141,6.097817,4.497463,7.370226,5.191476,4.904228,3.554848,5.540330,6.361976,3.751399,3.951485,5.293237,4.438613,3.923574,7.593100,2.263382,4.723867,4.417855,4.947136,5.826903,3.760443,0.858553,3.594174,6.240222,8.018891,4.957710,6.514184,3.219821,3.556573,5.604802,6.391725,3.938221,6.861896,3.027258,3.909196,5.588105,4.949398,5.681630,5.987493,4.902106,5.607818,5.202498,4.751914,4.703972,3.501824,6.020856,5.837438,4.618442,4.541273,5.465154,5.196519,3.699503,5.510563,3.873123,4.786858,4.656668,5.869973,4.177527,5.631327,4.082976,4.883934,4.987184,4.515609,4.667365,3.761364,5.601582,3.043460,4.484109,4.591400,5.206307,5.109613,4.478394,4.122218,4.909697,4.307994,5.060765,4.971838,6.879948,5.575487,5.647345,2.959990,4.525548,2.725113,4.051323,1.911073,4.372052,3.609020,4.203501,3.583139,4.960376,2.886225,4.271534,3.091683,3.408414,3.520776,3.295928,3.618108,3.821392,2.560642,4.823087,4.377250,3.265281,4.344170,4.016212,3.966731,3.269920,3.746638,7.705102,4.864777,5.769949,4.837726,3.014403,7.037008,3.135421,6.450865,6.391973,5.252306,5.783659,5.123125,3.247904,7.416770,4.517117,5.973830,6.111488,4.723026,4.694810,5.302498,3.133156,4.858309,5.110542,6.208062,5.902070,4.606794,4.733950,4.555994,5.568566,5.402748,4.457684,6.636812,4.709819,5.212677,4.678021,6.250973,4.118043,4.038705,5.618583,4.314308,3.340764,3.685911,3.393535,5.458645,6.947711,4.411710,4.859639,4.836118,5.319075,4.401414,3.367759,4.563904,6.076613,5.522200,5.521159,4.483045,4.960895,4.451176,6.532185,3.447399,4.616643,5.955699
C000326,82,3,16,13,1,,4.589262,5.757659,6.840074,6.346700,5.411461,8.684013,5.804583,6.238812,5.694884,5.115932,6.772325,8.338945,4.825611,5.485553,6.354414,5.015924,6.028738,7.910218,5.609897,5.642308,6.807315,5.741349,5.820765,7.623478,3.602223,4.858230,6.738184,4.904017,7.958873,8.949766,6.261460,5.021304,2.806313,4.522999,6.219630,6.134307,5.243203,4.867750,2.710579,5.214677,7.536396,2.371959,5.165475,7.437822,5.005718,7.053976,6.943769,4.215834,5.127582,6.058489,3.650704,5.944655,6.126860,3.901072,4.864573,1.763264,7.959709,3.972002,5.819405,7.978822,4.213307,4.590052,5.159990,5.559422,3.884969,5.978606,5.628573,3.705803,4.931154,5.780198,5.837147,3.858056,4.346018,6.249415,5.545322,4.345668,6.402150,5.314154,3.862798,4.919869,4.196985,6.549929,4.723700,5.448587,3.775936,4.849594,5.488175,5.202117,6.062260,5.079553,4.579963,5.024528,4.564846,5.093803,4.156370,3.552723,4.824249,4.081165,3.893011,4.340354,3.850857,5.708507,3.416446,5.326996,3.718816,5.856912,5.613412,7.266150,3.736530,3.878725,2.853779,3.993225,3.722205,2.996752,4.291385,4.865852,3.522003,4.346421,4.672509,4.220744,3.358858,3.667263,4.151228,3.981173,3.831007,4.325426,4.309109,3.934722,5.056092,3.421857,5.069859,3.809565,4.569019,2.533639,5.762148,4.377760,3.191712,4.425237,5.460041,6.442244,5.440716,3.507637,4.807269,6.060798,2.252603,3.377355,6.104870,6.302982,2.489413,8.338482,4.578667,5.448961,4.960881,3.614319,3.997951,5.444969,5.869917,5.801063,6.358823,4.449133,4.416599,4.109566,6.913756,5.215344,5.457054,3.951054,4.731295,5.373217,5.495825,4.009296,5.219080,4.545221,4.538543,5.491677,5.364442,5.725634,5.308886,3.845434,6.627826,4.400733,4.772094,5.121730,5.329202,5.498531,5.468578,4.483596,4.612269,3.574553,3.454316,5.025450,5.879512,7.390438,4.865853,4.928610,5.037685
C000327,82,4,17,13,1,,3.148165,4.324116,8.230826,6.426599,6.312749,7.278400,5.960827,4.897364,7.515462,2.720370,8.017147,7.680610,5.309161,8.366184,6.993777,5.940862,5.616771,4.806685,4.041260,7.766168,6.166571,4.044125,7.509194,9.409138,5.104529,7.141094,7.904257,3.250270,5.876623,6.672597,3.509520,3.645682,5.225072,4.696044,6.274336,3.435306,5.104818,6.366110,7.464975,5.343517,5.640514,4.399927,6.875184,6.228941,6.772343,7.145659,6.216721,2.613740,4.679115,4.971354,2.291542,5.359559,3.229365,3.320747,7.508734,3.731597,4.709922,4.508320,4.760520,8.062793,8.217352,5.981532,4.636704,6.297036,4.082305,5.339801,4.420962,5.329593,4.954870,5.820889,6.002600,5.413494,5.911355,3.470241,5.070357,4.287376,4.597216,4.731554,5.693102,5.947539,5.348333,5.043717,5.719519,5.056379,6.382209,5.555889,6.049516,4.922594,5.156793,4.925896,4.032058,3.871569,6.413182,4.424488,4.684506,5.764024,5.252639,6.828103,3.075846,6.457032,4.809781,3.822116,3.887022,4.773724,5.683558,3.988717,5.612655,2.715367,4.045052,3.567716,2.378773,4.013439,3.429705,2.580476,3.874504,4.024585,3.218114,3.163693,3.726641,2.929124,4.315334,4.559055,3.793665,4.884148,3.587825,3.660228,3.859537,3.251344,3.657151,3.729681,3.614999,3.849635,6.084427,5.232992,2.983864,7.003920,5.882891,7.650939,3.501787,4.870971,4.429034,4.447559,4.906321,5.005236,4.602285,5.760561,3.464313,5.483750,5.675573,3.973146,5.891224,4.056645,5.445438,5.763764,5.599692,7.804801,2.948786,5.378764,4.074077,5.251076,4.605084,3.679142,6.594065,5.876584,4.446865,5.793631,5.665131,6.833356,3.423914,4.268494,5.835486,5.783973,3.873209,6.006750,6.252010,3.502466,4.719231,5.059108,4.805238,6.282936,4.202642,4.232856,5.173917,6.078322,3.998063,5.723154,4.486965,5.119533,4.096131,5.346790,4.331320,6.266317,3.187754,4.964294,5.394477
