SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
C000038,10,3,-11,-25,2,60,-0.0669331,1.31058,-0.574169,-2.33695,30,46,25,34,0,1.00012,1,1.25,1.5,1.75,1.02276,1.00933,0.99953,0.953643,0.945269,1.02835,1.05675,0.96078,0.955647,1.06106,,,,,,1.00299,1.00541,0.956648,0.967338,1.02162,0.969446,0.874364,0.705824,0.659274,0.581273,0.826838,0.667827,0.966632,1.45489,9.67941,1.0718,0.546238,-0.208122,-1.61365,7.27859,1.00284,1.15565,0.765169,0.685249,1.29653,1.15788,0.874781,0.786086,0.990622,2.30783,1.02545
C000039,10,4,-10,-25,2,2,0.870718,0.167366,0.0538683,-4.28514,22,34,40,36,63,1.00009,1,1.25,1.5,1.75,0.965782,1.14491,0.935579,1.00598,0.993393,0.938306,1.02461,1.05381,1.02954,0.959616,,,,,,1.02131,1.02301,0.958251,1.01686,0.955868,0.88082,0.89007,0.734792,0.650397,0.516214,1.03405,0.88186,0.967146,1.33111,11.2895,0.950037,0.42338,2.226,-1.37549,8.03887,0.987699,1.1694,1.20422,0.801482,1.27394,1.08506,1.27436,1.4175,0.916285,1.73295,1.43882
C000040,11,1,-9,-25,2,60,2.45292,1.09251,-0.94478,1.42505,33,35,18,24,41,0.999921,1,1.25,1.5,1.75,1.01556,0.948354,1.24604,1.06973,0.812592,1.06693,1.05971,0.973821,1.10971,0.996127,,,,,,1.06026,0.94179,1.09097,0.930045,1.015,0.955083,0.806482,0.774192,0.694486,0.530439,0.890368,0.963243,1.11448,5.52552,-0.049894,1.09577,0.265842,-0.438876,-1.23655,-4.89026,0.974022,1.0852,1.14437,1.26737,1.35211,0.967972,0.769539,1.34675,0.892157,1.85371,1.20102
C000041,11,2,-8,-25,2,53,0.988163,-1.21338,1.55676,4.26731,20,39,21,0,0,1.0001,1,1.25,1.5,1.75,0.983778,0.985213,0.984887,0.976511,0.917024,1.0268,1.00632,0.899608,1.00603,0.953386,,,,,,1.07164,1.03772,1.09223,1.08784,1.02453,0.902629,0.854661,0.729431,0.720512,0.544484,0.999554,1.28704,0.599357,1.32481,0.613652,1.14662,0.913154,2.09783,-2.23119,8.56424,1.01026,0.792154,1.1098,0.700088,1.04274,0.95109,0.782449,1.43594,1.04782,0.827519,1.42292
C000042,11,3,-7,-25,2,60,1.65496,1.71512,-0.425373,-1.57915,22,40,46,32,0,0.999878,1,1.25,1.5,1.75,1.0111,0.977856,0.995082,1.00441,1.24364,1.06605,1.05001,0.979717,0.955415,0.955782,,,,,,0.992539,0.96084,1.02088,1.00704,0.927731,0.936775,0.830391,0.730537,0.610708,0.495419,1.01684,1.00399,1.20737,-3.63288,7.68547,0.833143,0.746906,-0.14408,4.51635,0.16264,1.05256,0.854154,1.12336,0.794554,0.961778,1.165,0.947378,1.0317,0.800823,1.01056,0.909566
C000043,11,4,-6,-25,1,,0.0792514,1.11633,0.970391,1.24902,0,42,0,20,0,0.999979,1,1.25,1.5,1.75,1.02003,1.02902,1.02578,0.984944,0.951293,0.990555,1.04678,1.00178,1.07021,0.880552,,,,,,0.972277,1.0151,0.961897,1.02328,1.01466,0.920592,0.82023,0.747379,0.680288,0.518428,1.02405,3.11,0.999771,5.54769,-1.0584,1.15611,0.189519,1.82142,-1.80781,2.76059,1.04129,0.859851,1.12505,1.27859,1.32284,0.745392,0.876724,1.25205,1.04981,0.754918,0.637724
C000044,12,1,-5,-25,2,31,1.62526,1.74939,-1.94933,0.42861,33,33,38,36,63,1.00018,1,1.25,1.5,1.75,1.02785,0.99444,1.05179,1.02238,1.01297,0.982302,0.986825,0.986749,0.94672,1.0119,,,,,,1.07144,0.963804,1.05506,0.969677,0.911695,0.884982,0.882347,0.744685,0.648127,0.566202,1.10204,0.918416,1.14902,0.725933,9.85965,0.922212,0.462097,-0.574869,3.56444,6.68381,0.900475,0.901012,1.17623,1.22138,0.583249,0.979121,1.22212,0.849768,1.55822,0.740475,1.10111
C000045,12,2,-4,-25,2,28,0.224833,1.34171,1.69822,2.77593,44,30,22,0,24,0.999919,1,1.25,1.5,1.75,0.981695,0.99855,1.04605,0.995166,1.11438,0.973853,0.927496,0.999209,0.977161,0.963863,,,,,,1.01946,0.981545,0.974155,1.02666,1.0393,0.893123,0.872846,0.729607,0.957282,0.594065,1.17234,-1.138,0.63137,0.353967,0.856983,0.932089,1.40232,0.0349901,2.91549,1.28279,1.01512,1.11689,0.877481,1.21136,0.666981,1.14231,0.771011,0.966273,1.61057,2.2196,1.02556
C000046,12,3,-3,-25,2,10,1.62309,0.905242,0.548236,2.82031,29,28,21,34,0,1.00021,1,1.25,1.5,1.75,0.986465,0.972512,0.974077,0.911712,1.32669,0.982738,1.01661,0.939671,0.976024,1.04543,,,,,,1.03407,1.04166,1.12897,1.06745,0.954517,0.896572,0.83052,0.700939,0.646093,0.560709,0.948247,1.11651,0.960889,6.09719,1.29633,1.18594,0.262543,-0.268975,-0.5687,2.59948,1.05358,0.857211,1.2264,1.24182,0.627658,0.983916,1.36424,1.11006,0.755559,0.770527,0.693082
C000047,12,4,-2,-25,2,32,1.56797,1.39372,1.18129,4.62923,34,26,37,26,63,1.00021,1,1.25,1.5,1.75,0.992186,0.965129,0.975868,1.0091,0.980362,1.04853,0.976335,0.973219,0.958337,0.978964,,,,,,0.966461,0.940603,1.06343,0.941783,0.95249,0.94446,0.862207,0.773316,0.645145,0.582284,0.909144,1.05087,4.27847,1.05431,1.2167,0.954014,0.261814,0.046529,-1.51386,8.70643,1.00208,0.877648,0.767236,1.28959,1.38556,0.873742,0.773023,0.758432,0.781147,0.827828,0.789936
C000048,13,1,-1,-25,2,60,1.20449,1.57179,0.595075,7.49852,19,37,32,38,63,0.99989,1,1.25,1.5,1.75,1.00336,1.05375,0.929027,1.00791,0.921528,0.981627,0.984528,1.07089,1.06069,1.00387,,,,,,0.969086,0.996754,0.939699,0.947584,1.0268,1.01303,0.799143,0.744635,0.632838,0.527565,1.28388,0.717768,0.776924,1.60237,0.353019,0.797181,1.1894,0.296403,3.57695,-4.91758,0.981995,0.961773,0.859351,1.26732,0.954629,1.02646,1.3958,0.992072,1.62599,1.0265,1.09179
C000049,13,2,0,-25,2,60,1.74791,1.00181,2.17847,0.857857,30,29,19,27,31,0.999917,1,1.25,1.5,1.75,0.950809,0.972781,1.03354,0.909639,0.887411,1.05854,1.03376,1.00787,0.992334,0.876639,,,,,,1.00476,0.895923,0.965349,0.977609,0.956334,0.92633,0.838683,0.751905,0.603592,0.524478,0.957929,1.01968,1.14454,1.28439,-0.0538103,1.00821,1.52731,2.02224,3.27875,1.00018,0.884059,0.844457,1.23105,1.26906,1.32051,0.885377,0.92664,0.936447,1.5936,0.974343,1.01423
C000050,13,3,1,-25,2,30,0.342182,2.23275,-0.063267,2.94268,25,25,38,24,37,0.999905,1,1.25,1.5,1.75,0.977634,0.966452,0.954288,1.00024,1.02468,1.05888,0.980911,1.04614,0.930351,0.934409,,,,,,0.91592,1.0078,1.00807,0.951118,0.929303,0.914335,0.848896,0.803421,0.654734,0.212099,0.982353,0.96446,0.926613,0.848722,1.22122,1.05186,1.46983,2.31957,-1.83634,8.41552,1.04633,0.876473,1.15422,1.26669,1.36706,1.01546,0.617828,0.83574,1.5985,1.15677,1.065
C000051,13,4,2,-25,2,60,0.358837,1.49902,0.727278,4.67812,45,22,63,21,63,1.00005,1,1.25,1.5,1.75,0.990413,1.02045,1.11366,1.05349,0.999039,0.969249,1.04916,1.00541,1.07049,0.96203,,,,,,0.971558,1.05419,1.03765,0.977164,0.999413,0.873219,0.835535,0.782878,0.64367,0.478824,1.06207,1.31013,0.704731,5.50221,0.713441,1.18782,1.79391,1.97864,-1.05697,7.96908,0.959236,0.827677,0.774166,0.726142,0.669638,0.848303,0.974068,1.46733,1.7856,0.802287,0.889619
C000052,14,1,3,-25,2,21,-0.0281995,0.953461,-1.39386,-3.6621,34,38,30,21,63,1.00009,1,1.25,1.5,1.75,0.989382,0.979406,0.963457,0.98571,0.941054,1.00078,0.951411,0.958702,1.02113,0.974276,,,,,,0.929452,0.995778,1.00139,1.01758,1.01899,0.914629,0.793184,0.737078,0.562863,0.558425,0.821918,0.916787,0.766976,0.657509,-8.19329,1.12986,0.272859,0.205745,-1.52188,1.58788,0.982912,0.850905,0.876956,0.704693,0.655538,1.2896,0.97811,0.749722,1.42511,1.02222,1.29927
C000053,14,2,4,-25,2,60,1.21573,0.975267,-2.00874,-7.79138,34,31,26,31,27,1.00009,1,1.25,1.5,1.75,0.981185,1.05531,0.997553,1.01286,1.00814,0.991683,1.01965,1.05167,1.03436,0.981566,,,,,,0.990948,1.05546,0.934718,0.968344,0.947957,0.93283,0.846598,0.751264,0.63744,0.53872,0.993061,1.08644,1.10101,-3.80823,10.6278,0.889359,1.3307,0.380564,3.56857,1.28799,0.973468,0.901127,1.20956,1.22165,0.614471,0.959374,1.30423,0.806834,0.747455,0.688234,0.675359
C000054,14,3,5,-25,2,60,1.16734,-0.0423448,-1.13766,-2.7107,40,44,43,28,63,0.99999,1,1.25,1.5,1.75,1.03261,1.04722,0.988047,0.922672,1.00833,0.947864,0.972545,0.961246,1.0331,1.02598,,,,,,0.952186,1.01352,0.966127,1.02975,0.988448,0.931826,0.85065,0.757557,0.684626,0.535759,0.877716,1.00759,0.829383,1.42671,-8.98067,0.98224,0.344565,1.85239,-1.30533,7.80578,1.02355,0.985079,0.812573,0.741731,0.578176,0.985303,0.957518,0.893564,0.699071,0.97153,0.576793
C000055,14,4,6,-25,2,60,1.91354,1.99966,2.02932,-0.770128,32,40,32,0,32,1.00002,1,1.25,1.5,1.75,1.02589,1.02717,0.996713,0.884678,1.16148,1.08342,0.986688,0.968123,0.916748,0.981925,,,,,,0.904497,1.06587,1.02001,0.969572,0.97142,0.953333,0.781429,0.785195,0.645675,0.513425,0.70388,-0.711381,1.43076,1.13234,11.7491,0.939852,0.476902,0.38937,3.8409,0.142857,0.965175,1.06706,0.823925,0.798466,1.38914,1.31517,1.06665,0.974327,0.629099,0.900736,1.06855
C000056,15,1,7,-25,2,60,1.34236,1.48258,-0.0631821,-0.317072,23,43,18,37,63,0.999893,1,1.25,1.5,1.75,0.980129,1.04318,1.05226,1.06135,0.862056,1.01189,0.951522,1.02348,1.02572,1.00558,,,,,,1.04196,0.889134,0.916541,1.05391,0.94396,0.922054,0.842475,0.769715,0.666205,0.482336,1.10835,1.12965,1.03608,1.97811,0.0378351,1.1085,0.662613,-0.800747,3.1251,-4.69484,1.10193,1.10806,1.23344,1.22156,1.36265,1.00493,0.978412,0.968785,0.842082,1.0471,1.45461
C000057,15,2,8,-25,2,60,1.40737,0.650819,0.795094,1.70916,46,42,34,39,0,0.999905,1,1.25,1.5,1.75,1.01111,1.02111,1.00269,1.00855,1.13979,0.903313,0.919044,1.04726,1.0458,1.03929,,,,,,0.98473,1.04616,0.89477,1.01373,1.00737,0.874978,0.822436,0.483707,0.682159,0.585031,1.03209,1.12647,1.31829,0.702188,0.98843,1.11732,0.435738,-0.218859,3.44203,0.672372,0.993722,1.0745,0.831804,0.747281,0.917375,1.00203,1.08927,0.833598,0.791613,0.850297,0.573616
C000058,15,3,9,-25,2,60,0.350378,0.689271,3.69121,4.67353,36,29,38,33,24,1.00008,1,1.25,1.5,1.75,0.957957,1.0369,1.10581,1.26131,1.03578,0.925056,0.95844,1.01144,1.04164,1.0171,,,,,,0.998279,1.01116,1.02641,1.06044,1.00697,0.91244,0.812077,0.792278,0.643394,0.886196,0.975123,1.03748,1.25738,0.404013,9.07725,1.16745,1.94482,1.52754,-2.09578,0.759135,1.01068,1.06338,1.13316,1.27656,0.573712,1.12549,1.24738,0.700355,0.849979,2.24859,0.995534
C000059,15,4,10,-25,2,60,1.87547,2.32849,-0.879914,5.21704,34,16,40,28,21,0.999925,1,1.25,1.5,1.75,1.01503,0.925471,1.01786,1.0963,1.04615,0.941049,0.96299,0.946971,0.940347,1.06529,,,,,,1.02485,0.924321,1.02745,1.04128,0.983026,0.90533,0.788634,0.761305,0.662573,0.542258,0.840641,1.03192,1.18883,1.36492,-0.30664,1.0504,0.840421,1.79954,3.31828,1.30047,0.939826,0.863929,0.78053,1.19816,1.00065,1.10861,0.965289,0.913066,1.73951,0.914676,0.659311
C000060,16,1,11,-25,2,60,0.320045,1.60758,0.762523,0.624217,10,35,34,40,63,0.99991,1,1.25,1.5,1.75,0.954034,1.00883,0.900059,1.04759,0.921384,1.01067,0.891235,1.05425,0.96604,1.08593,,,,,,1.01748,1.06229,1.02761,0.96014,1.03477,0.852403,0.864635,0.713195,0.67335,0.554765,1.03754,0.696202,1.13799,0.912235,1.89326,0.96982,0.455379,-0.671072,-0.936741,6.61281,1.05178,0.851905,0.836634,1.21484,1.29819,0.762968,0.869375,0.939162,0.891744,0.831139,0.795264
C000061,16,2,12,-25,2,60,0.391491,0.59635,-0.883993,3.28832,28,31,31,45,0,0.999932,1,1.25,1.5,1.75,1.01525,0.977906,0.891389,1.0224,1.1244,0.960923,0.980159,1.00457,1.07818,0.954323,,,,,,1.04321,0.977027,1.0237,1.01842,1.0356,0.910376,0.79763,0.786434,0.610507,0.514885,1.02482,0.989462,0.823194,0.822938,0.979175,1.1171,1.79931,1.67254,3.79498,5.62566,1.02762,1.12751,0.793998,1.21542,0.990466,1.152,1.27696,0.805248,0.78508,0.816941,1.04477
C000062,16,3,-14,-24,2,60,-0.353824,-0.326933,0.0731022,-0.732569,63,31,27,32,63,0.999936,1,1.25,1.5,1.75,1.03371,0.986847,0.964447,1.01666,0.987798,1.06663,1.09051,1.03098,1.02654,1.05913,,,,,,0.994006,1.01197,1.03904,1.00198,0.961418,0.924809,0.809402,0.766221,0.645253,0.270913,1.02177,0.756183,0.866945,2.15433,1.82656,1.1356,0.46858,-0.294415,3.50663,7.97657,0.965316,1.0773,1.20024,1.28935,0.580025,0.73673,1.11654,1.06269,0.807786,1.04543,0.676318
C000063,16,4,-13,-24,2,60,1.03036,2.06498,1.22869,-0.573808,30,29,42,0,63,1.00011,1,1.25,1.5,1.75,1.00278,1.00284,0.989375,1.0206,1.00426,1.04336,0.972286,0.929011,1.00933,1.00803,,,,,,1.06418,1.00387,1.10865,0.9857,1.02537,0.950609,0.851003,0.745431,0.689023,0.487396,0.891857,1.20736,3.47038,1.00733,1.55195,0.784602,1.5076,0.207615,3.9068,1.06797,0.995879,1.06103,0.791752,1.20512,1.02049,1.01823,1.38863,0.714507,0.885604,0.785579,0.931174
C000064,17,1,-12,-24,2,60,0.398104,3.14583,2.06959,-0.703122,27,27,28,41,63,1.00004,1,1.25,1.5,1.75,1.00747,1.00003,0.956184,1.0127,1.08814,0.863044,1.02336,0.987872,1.02137,1.03416,,,,,,0.946589,0.942308,0.94479,1.039,1.04935,0.90353,0.835022,0.758351,0.636846,0.54363,1.10411,1.20146,4.27295,5.22114,-7.75709,1.04921,0.721699,-0.0373381,3.38543,-3.39942,0.972648,1.10534,0.858727,0.723792,1.07439,1.0302,0.596788,0.796336,1.64754,0.776265,0.872361
C000065,17,2,-11,-24,2,60,0.499558,0.249599,-0.80881,3.13837,27,32,30,63,34,1.00002,1,1.25,1.5,1.75,0.995187,1.07329,1.02738,1.04892,1.06898,1.0318,0.910397,1.00275,0.978772,0.980372,,,,,,0.991513,1.00746,1.00491,1.01367,1.05594,0.918233,0.821024,0.747221,0.673719,0.53218,1.16586,0.77003,1.02743,0.747158,-7.80604,0.801984,1.57898,2.36063,-1.17573,6.96906,1.03585,1.11029,1.13174,0.705364,0.983783,0.91215,1.24651,0.876204,0.936711,2.12717,0.785647
C000066,17,3,-10,-24,2,60,1.24528,1.16742,0.462782,-1.99448,22,36,18,25,32,0.999896,1,1.25,1.5,1.75,0.989845,1.02243,1.01624,0.865546,1.00262,1.03545,1.04298,1.07124,0.98762,0.879392,,,,,,0.948577,0.94186,1.03652,1.08833,1.01322,0.975433,0.802137,0.731316,0.627217,0.564978,1.17562,0.796742,0.783349,0.939616,0.273526,0.963576,1.70725,2.64139,-2.06474,-0.224868,0.941484,0.866102,0.815694,1.23803,0.517247,0.669228,0.783696,1.05865,1.53564,0.919642,0.853674
C000067,17,4,-9,-24,2,46,0.769088,1.09972,1.18862,2.02229,34,36,0,63,0,0.99996,1,1.25,1.5,1.75,1.03705,1.0025,0.931349,1.13891,1.35341,1.08647,0.901655,0.987917,0.906232,1.04102,,,,,,0.980567,1.03456,1.02117,0.946007,0.942787,0.934052,0.873093,0.763974,0.618438,0.530715,0.821106,1.10226,0.695764,1.3118,10.9899,0.943849,1.41723,1.85305,-1.37445,-4.4064,1.11456,0.925039,1.21491,1.26385,1.03426,0.941653,0.784193,0.960458,0.896355,2.16038,1.1638
C000068,18,1,-8,-24,2,60,0.892509,0.185189,3.83092,3.05429,36,46,34,0,32,0.999917,1,1.25,1.5,1.75,1.03435,0.993105,0.939304,1.01757,0.82737,0.981507,0.986643,1.03117,1.04227,1.0481,,,,,,0.980252,0.971342,0.894864,1.00684,0.956404,0.909239,0.810832,0.772573,0.646399,0.603645,0.950461,1.55223,0.679281,5.89187,2.59371,1.15291,0.568237,-0.0764869,3.15305,-5.91595,1.11696,0.862008,0.727969,0.666942,1.39524,1.09657,1.02145,0.88181,0.832403,0.945939,1.1096
C000069,18,2,-7,-24,2,30,0.497647,0.687261,1.20603,1.09712,24,33,37,0,0,0.999853,1,1.25,1.5,1.75,1.04982,0.985031,1.01017,0.919257,1.03233,1.0432,0.944402,0.935221,1.02825,1.06109,,,,,,1.09394,1.04402,0.912301,1.00043,1.02503,0.953351,0.78942,0.730546,0.621744,0.495123,1.16166,1.12506,0.789166,0.761821,1.06196,0.946839,0.439762,1.90456,3.21008,-6.93115,0.993205,1.15538,1.08098,0.781273,1.04493,0.803429,0.903886,0.883753,1.00796,0.882583,0.730305
C000070,18,3,-6,-24,2,60,1.75209,0.393525,0.323727,6.33778,38,37,46,21,0,1.00008,1,1.25,1.5,1.75,1.01606,1.03729,0.992304,1.01932,1.06392,1.03407,0.955834,0.982832,1.03469,1.05655,,,,,,0.999967,1.02685,0.992163,0.887833,0.962521,0.961757,0.781823,0.753912,0.623093,0.549824,0.859394,0.999525,1.15301,0.984241,8.88281,1.06094,1.57616,0.22346,-1.0029,0.753774,0.961168,0.913373,0.819046,0.778464,1.44732,0.87123,0.941112,0.818887,0.970567,1.22185,1.345
C000071,18,4,-5,-24,2,35,0.574178,1.13658,2.09352,3.86729,31,29,0,26,63,1.0,1,1.25,1.5,1.75,0.97995,0.983441,1.00988,1.12827,0.893505,1.02834,1.1002,0.957272,0.98748,0.919888,,,,,,1.00465,1.03989,1.05593,0.949941,0.992768,0.924871,0.838026,0.74679,0.61929,0.572755,0.951347,1.17613,0.727198,1.22815,1.21653,1.01032,0.695809,1.96155,-2.62624,-4.72619,1.09191,1.09327,1.22974,1.30189,0.64489,0.862585,0.953261,0.765025,1.12864,0.693942,0.744506
C000072,19,1,-4,-24,1,,1.81178,1.44786,-0.877899,-0.172147,26,25,63,39,41,0.999941,1,1.25,1.5,1.75,1.01987,1.02111,1.07999,1.03223,0.999691,0.971239,0.921633,1.00945,0.571638,0.987711,,,,,,1.04556,0.971488,1.02201,1.0355,1.02323,0.934863,0.818155,0.785577,0.635352,0.553401,1.00454,0.596398,0.965568,1.86461,-8.58386,1.1062,0.64158,0.131225,-1.21602,7.31515,0.986669,0.914905,1.10499,0.732617,0.981993,0.833981,0.935264,0.779745,0.677392,0.764547,1.1984
C000073,19,2,-3,-24,2,60,1.14774,0.563821,-0.4113,-1.63109,37,31,35,63,63,0.999922,1,1.25,1.5,1.75,0.993332,0.992934,1.04726,0.958439,0.877557,1.04193,1.09629,1.11311,0.953583,1.12136,,,,,,0.882419,0.979062,0.923012,1.0815,0.987689,0.936147,0.86272,0.77956,0.653258,0.618478,1.05736,0.945605,0.545424,1.18958,0.520676,0.950396,1.44727,0.0879217,2.64253,0.450092,0.970908,0.929472,1.15367,1.26913,1.02393,0.941729,1.18824,1.46696,0.834765,2.04077,1.48002
C000074,19,3,-2,-24,1,,1.04947,2.62232,0.113692,-1.08684,17,34,26,16,0,0.999827,1,1.25,1.5,1.75,0.95817,1.00175,0.989828,0.981401,0.965267,0.957584,0.95461,1.07032,1.09987,0.923974,,,,,,0.916216,0.966619,0.958107,1.00665,0.957073,0.917441,0.845417,0.732705,0.942079,0.490887,1.07283,1.22797,-1.66409,-3.37456,1.43807,0.880526,0.751403,1.82694,-1.02041,8.61153,0.984712,1.20046,0.81815,0.743215,1.03422,1.12945,0.942983,0.936578,1.55768,0.865628,0.711793
C000075,19,4,-1,-24,2,60,1.11907,1.10358,0.00356903,2.5589,27,0,32,30,46,0.99982,1,1.25,1.5,1.75,0.973952,0.945458,1.07575,1.05212,1.00132,1.00472,1.02818,1.02271,1.04746,1.01568,,,,,,1.02657,0.989724,0.982849,1.01626,0.916201,0.911255,0.823012,0.730631,0.668263,0.611191,1.16899,0.564387,0.15855,0.746489,1.37767,1.16701,0.37312,-0.185567,-2.48986,7.1032,1.0635,1.1936,1.15258,0.684899,1.31224,1.00676,1.22628,0.758587,0.852221,2.03629,0.704615
C000076,20,1,0,-24,2,60,0.447405,1.41723,1.17662,7.29005,31,33,27,25,63,1.00018,1,1.25,1.5,1.75,1.01139,1.00674,0.971831,0.887073,0.981693,0.938645,0.946799,1.02659,0.953189,0.945977,,,,,,1.01983,1.01279,0.99273,0.915855,1.00589,0.928263,0.819451,0.778822,0.63913,0.522583,1.01986,3.05078,1.19906,0.880983,2.6735,1.11441,0.414227,1.75892,2.63069,-1.09519,1.00046,1.15192,1.25626,0.693457,1.0445,1.22316,0.994087,1.35753,1.13471,0.819724,1.18084
C000077,20,2,1,-24,1,,1.43385,0.317819,-0.713306,-6.99408,0,34,29,63,26,1.00001,1,1.25,1.5,1.75,1.02315,0.916939,1.03308,0.99544,1.16608,1.1085,0.971866,1.02888,0.970625,1.01437,,,,,,0.980782,1.00402,0.99523,1.02565,0.997032,0.92437,0.837612,0.762259,0.319418,0.564716,0.89016,2.56375,1.34119,0.480107,-7.00334,1.09566,0.406686,2.16325,-1.654,-4.87936,0.948419,1.01159,0.826305,0.697926,0.991407,0.869479,0.91904,1.11452,1.47647,0.850616,0.834588
C000078,20,3,2,-24,2,12,0.279597,1.43856,0.363413,5.79651,33,28,13,63,0,1.00005,1,1.25,1.5,1.75,1.03364,1.0359,0.987458,1.01923,0.95928,1.0102,0.990107,1.01517,1.01189,0.91972,,,,,,0.946133,1.08705,1.01044,0.971202,1.02157,0.928777,0.863468,0.784231,0.626182,0.530859,1.06033,0.725751,0.277473,1.48087,0.671217,0.883605,0.629209,-0.1656,-1.73337,6.20342,1.04302,0.90039,0.788378,1.27164,0.658714,0.748717,1.33253,1.04113,1.7211,0.909179,0.773139
C000079,20,4,3,-24,2,60,-0.103182,1.54414,1.58865,-4.13838,27,41,31,0,63,0.999865,1,1.25,1.5,1.75,0.985826,0.965113,1.03247,0.982567,1.06677,0.991641,0.945195,1.00923,1.00944,0.974358,,,,,,0.921492,0.961093,0.949702,0.934491,1.0303,0.896315,0.877991,0.776598,0.647573,0.557475,0.811079,0.678654,1.04374,0.667209,1.09444,0.954481,1.73876,0.0762609,-1.58545,-4.60555,0.998437,1.15884,0.884457,1.23723,1.05699,1.1274,0.813387,1.22505,1.10026,1.79854,1.22288
C000080,21,1,4,-24,2,60,0.250669,2.52792,-0.788876,0.960739,33,43,25,63,27,0.999851,1,1.25,1.5,1.75,1.02171,1.1095,0.980567,1.04168,0.980273,1.00977,0.895409,0.935255,1.0711,0.918638,,,,,,1.10351,1.05198,0.973355,0.916457,0.981056,0.952205,0.789541,0.810137,0.636776,0.60483,0.950547,1.035,1.18501,-3.97006,0.169515,1.08123,0.398641,1.64976,-1.92875,7.05056,1.04269,1.20196,0.813203,1.25858,0.703636,1.02806,1.13075,0.952797,0.844548,0.778546,0.866269
C000081,21,2,5,-24,2,8,1.76653,2.47643,-0.376289,3.31511,32,38,19,63,63,0.999855,1,1.25,1.5,1.75,0.9931,1.08402,0.990322,0.992403,1.01274,0.962174,0.966093,1.01208,1.07829,1.05769,,,,,,0.935028,0.912639,1.05698,1.06885,0.961887,0.992775,0.777372,0.772089,0.620071,0.551322,1.12093,1.41596,1.1691,1.49002,-7.49833,0.889801,1.39514,0.67192,3.09827,5.73935,1.03248,1.14848,0.933865,0.743143,1.32007,1.31642,0.860754,1.35952,0.838909,2.2482,0.486491
C000082,21,3,6,-24,2,60,0.110575,0.683636,-3.25399,-2.15019,29,34,30,0,28,0.999865,1,1.25,1.5,1.75,0.994165,1.00404,0.989286,1.07386,1.01818,1.00637,1.07202,0.95757,0.951674,0.996747,,,,,,1.00456,0.967719,0.9437,1.06502,0.95686,0.91771,0.77699,0.813483,0.622449,0.565432,1.07539,1.17024,0.723269,1.90792,-9.31963,0.968006,0.97727,2.03814,3.70877,0.79479,1.09491,1.09961,0.824879,0.716931,1.34813,0.803951,0.919438,1.00566,0.94162,0.760009,1.03394
C000083,21,4,7,-24,2,16,0.444307,1.08498,1.78931,2.36953,44,24,0,34,27,1.00017,1,1.25,1.5,1.75,1.0232,0.978238,1.00491,1.02434,0.978546,1.02085,0.925084,0.954188,0.565931,1.01296,,,,,,1.02396,1.06401,0.971769,0.967069,1.00942,0.87799,0.806425,0.739203,0.588978,0.546028,1.05272,1.30728,1.15941,0.618997,1.59033,0.967262,1.72493,0.419757,-1.3842,-4.64284,0.979113,0.849439,0.829518,1.20215,0.696039,0.816977,1.411,0.858124,0.91078,1.04602,1.18183
